Model,Yil,KM
"1.4 Comfort	,2007	,147.642	"
"1.4 Comfort	,2007	,141.000	"
"1.4 Comfort	,2009	,110.000	"
"1.6 XS	,2001	,160.000	"
"1.4 XR	,2000	,213.000	"
"1.4 Fever	,2007	,129.000	"
"1.4 X-Design	,2006	,118.000	"
"1.4 XR	,2000	,300.000	"
"1.4 Fever	,2006	,166.000	"
"1.6 Roland Garros	,2001	,220.000	"
"1.6 Roland Garros	,2004	,79.000	"
"1.4 XT	,2004	,184.000	"
"1.6 XT	,2001	,278.000	"
"1.4 HDi X-Design	,2006	,209.650	"
"1.4 Feline	,2006	,168.000	"
"1.4 X-Line	,2003	,250.000	"
"1.6 XT	,2001	,237.000	"
"1.4 XR	,1999	,278.000	"
"1.6 1.6 CC	,2004	,223.000	"
"1.4 Fever	,,"
"sa?l?k memurundan sat?l?k temiz	,,"
"2007	,2007	,"
"130.000	,130.000	,130.000	"
"Siyah	,Siyah	,Siyah	"
"54.250 TL
	,""54.250 TL"
"	"",""54.250 TL"
"	"""
"19 Temmuz
2020	,""19 Temmuz"
"2020	"",""19 Temmuz"
"2020	"""
"?stanbul
Ba?ak?ehir	,""?stanbul"
"Ba?ak?ehir	"",""?stanbul"
"Ba?ak?ehir	"""
 , , 
